nama_penyakit,apakah_menurun,matched_penyakit,obat_pertolongan_pertama,penyakit_perkembangan
Hipertensi,TRUE,Tuberkulosis,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Gagal Ginjal,FALSE,"Kanker Payudara, Demam Berdarah","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Asma,FALSE,Anemia,"Salbutamol, Budesonide",Gagal Napas
Gagal Ginjal,TRUE,"Asma, Gastritis","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Skizofrenia,FALSE,"Hipertensi, Serangan Jantung, Migraine","Risperidone, Olanzapine",Disabilitas Sosial
Gagal Ginjal,TRUE,"Alzheimer, Anemia, Tifus","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Bipolar,TRUE,"Pneumonia, Tuberkulosis","Lithium, Antidepresan",Depresi Kronis
Hepatitis C,FALSE,Anemia,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Tuberkulosis,TRUE,"Pneumonia, Artritis Reumatoid, Diabetes Mellitus","Rifampisin, Isoniazid",Gagal Paru
Malaria,TRUE,Hepatitis B,"Klorokuin, Artemisinin",Anemia Berat
Campak,FALSE,"Cacar Air, Skizofrenia, Hipertensi","Vitamin A, Paracetamol",Ensefalitis
Demam Berdarah,FALSE,"Asma, Bipolar","Rehidrasi, Paracetamol",Syok Dengue
Anemia,FALSE,"Campak, Artritis Reumatoid, Epilepsi","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Artritis Reumatoid,FALSE,"Diare Akut, Gagal Ginjal","NSAID, Metotreksat",Deformitas Sendi
Skizofrenia,FALSE,"Bipolar, Diabetes Mellitus, Campak","Risperidone, Olanzapine",Disabilitas Sosial
Serangan Jantung,FALSE,"Stroke, COVID-19","Aspirin, Nitrat",Gagal Jantung
Cacar Air,TRUE,"Kanker Payudara, Tifus","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Campak,FALSE,Artritis Reumatoid,"Vitamin A, Paracetamol",Ensefalitis
Malaria,FALSE,"Gastritis, Malaria, Influenza","Klorokuin, Artemisinin",Anemia Berat
Diare Akut,FALSE,"Asma, Kanker Kolorektal, Alzheimer","Oralit, Loperamide",Dehidrasi Parah
Asma,FALSE,"Hepatitis C, Influenza","Salbutamol, Budesonide",Gagal Napas
Influenza,FALSE,Malaria,"Oseltamivir, Paracetamol",Pneumonia
Asma,TRUE,Diabetes Mellitus,"Salbutamol, Budesonide",Gagal Napas
Osteoporosis,FALSE,"COVID-19, Hepatitis C, Tuberkulosis","Kalsium, Vitamin D",Fraktur Tulang
Kanker Payudara,TRUE,"Hepatitis B, Artritis Reumatoid, Kanker Payudara","Kemoterapi, Mastektomi",Metastasis ke Tulang
Kanker Kolorektal,TRUE,Tuberkulosis,"Operasi, Kemoterapi",Metastasis ke Liver
COVID-19,TRUE,"Skizofrenia, Kanker Paru-paru","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Kanker Paru-paru,TRUE,"Tuberkulosis, Hepatitis B","Kemoterapi, Radioterapi",Metastasis ke Otak
Epilepsi,TRUE,"Kanker Kolorektal, Serangan Jantung, Cacar Air","Fenitoin, Valproat",Gangguan Kognitif
Bronkitis,FALSE,"Artritis Reumatoid, Parkinson, Epilepsi","Dextromethorphan, Amoksisilin",Pneumonia
Anemia,FALSE,Kanker Payudara,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Parkinson,FALSE,"Serangan Jantung, Hepatitis C, Asma","Levodopa, Pramipexole",Gangguan Gerak Berat
Kanker Prostat,TRUE,"Bipolar, Asma, Depresi Mayor","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Stroke,TRUE,"Tifus, Migraine, Kanker Kolorektal","Antikoagulan, Rehabilitasi",Kelumpuhan
COVID-19,TRUE,Pneumonia,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Hipertensi,FALSE,Stroke,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Anemia,TRUE,"Alzheimer, Kanker Payudara","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Gagal Ginjal,TRUE,"Hepatitis C, Asma, Hipertensi","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Stroke,FALSE,"Kanker Paru-paru, Stroke","Antikoagulan, Rehabilitasi",Kelumpuhan
Hepatitis C,FALSE,"Tuberkulosis, Cacar Air, Demam Berdarah","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Osteoporosis,TRUE,"Bipolar, Tuberkulosis","Kalsium, Vitamin D",Fraktur Tulang
Campak,FALSE,"Hipertensi, Serangan Jantung","Vitamin A, Paracetamol",Ensefalitis
COVID-19,TRUE,Kanker Kolorektal,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Gastritis,FALSE,"Pneumonia, Kanker Paru-paru","Antasida, Omeprazole",Ulkus Lambung
Tuberkulosis,FALSE,Hepatitis C,"Rifampisin, Isoniazid",Gagal Paru
Cacar Air,TRUE,"Influenza, Kanker Paru-paru","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Hipertensi,FALSE,Hepatitis C,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Malaria,FALSE,"Campak, Skizofrenia","Klorokuin, Artemisinin",Anemia Berat
Osteoporosis,TRUE,"Kanker Payudara, Alzheimer, Demam Berdarah","Kalsium, Vitamin D",Fraktur Tulang
Asma,FALSE,Hipertensi,"Salbutamol, Budesonide",Gagal Napas
Hepatitis B,TRUE,"Campak, Kanker Kolorektal","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Kanker Payudara,FALSE,Campak,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Asma,FALSE,"Kanker Payudara, Stroke, Asma","Salbutamol, Budesonide",Gagal Napas
Tifus,TRUE,"Bronkitis, Bipolar","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Kanker Payudara,FALSE,"Asma, Anemia","Kemoterapi, Mastektomi",Metastasis ke Tulang
Gastritis,TRUE,"Bronkitis, Kanker Paru-paru, Artritis Reumatoid","Antasida, Omeprazole",Ulkus Lambung
Gastritis,FALSE,"Gastritis, Cacar Air","Antasida, Omeprazole",Ulkus Lambung
Kanker Prostat,TRUE,"Diabetes Mellitus, Kanker Prostat, Bronkitis","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Malaria,TRUE,Gastritis,"Klorokuin, Artemisinin",Anemia Berat
Tifus,TRUE,"Demam Berdarah, Rubella","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Hipertensi,TRUE,"Tuberkulosis, Bronkitis","Amlodipine, Captopril","Stroke, Serangan Jantung"
Tuberkulosis,TRUE,"Migraine, Gastritis, Campak","Rifampisin, Isoniazid",Gagal Paru
Alzheimer,TRUE,"Gagal Ginjal, Rubella","Donepezil, Memantine",Demensia Berat
Diare Akut,TRUE,Kanker Paru-paru,"Oralit, Loperamide",Dehidrasi Parah
Parkinson,TRUE,"Kanker Payudara, Artritis Reumatoid, Kanker Paru-paru","Levodopa, Pramipexole",Gangguan Gerak Berat
Tuberkulosis,TRUE,"Pneumonia, COVID-19, Campak","Rifampisin, Isoniazid",Gagal Paru
Gastritis,TRUE,"Bipolar, Hepatitis C, Diare Akut","Antasida, Omeprazole",Ulkus Lambung
Demam Berdarah,FALSE,"Bipolar, Kanker Paru-paru","Rehidrasi, Paracetamol",Syok Dengue
Osteoporosis,TRUE,"Hipertensi, Pneumonia","Kalsium, Vitamin D",Fraktur Tulang
Kanker Paru-paru,TRUE,"Kanker Paru-paru, Bipolar, Rubella","Kemoterapi, Radioterapi",Metastasis ke Otak
Alzheimer,FALSE,"Parkinson, Diare Akut, Kanker Payudara","Donepezil, Memantine",Demensia Berat
COVID-19,TRUE,"Cacar Air, Bipolar, Hemofilia","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Tifus,FALSE,Stroke,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Epilepsi,TRUE,"Serangan Jantung, Kanker Kolorektal, Gagal Ginjal","Fenitoin, Valproat",Gangguan Kognitif
Campak,TRUE,"Demam Berdarah, Hepatitis B, Skizofrenia","Vitamin A, Paracetamol",Ensefalitis
Parkinson,FALSE,Anemia,"Levodopa, Pramipexole",Gangguan Gerak Berat
Diabetes Mellitus,TRUE,"Campak, Kanker Kolorektal, Depresi Mayor","Insulin, Metformin","Gagal Ginjal, Neuropati"
Kanker Prostat,FALSE,Diabetes Mellitus,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Demam Berdarah,TRUE,"Influenza, Migraine","Rehidrasi, Paracetamol",Syok Dengue
Hipertensi,FALSE,Tifus,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Hemofilia,TRUE,"Diare Akut, Malaria, Asma",Transfusi Faktor VIII,Pendarahan Internal
Malaria,TRUE,"Cacar Air, Rubella","Klorokuin, Artemisinin",Anemia Berat
Parkinson,TRUE,"Tuberkulosis, Hepatitis C, Anemia","Levodopa, Pramipexole",Gangguan Gerak Berat
Hepatitis C,FALSE,"Kanker Paru-paru, Migraine, Asma","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Rubella,FALSE,Migraine,"Vaksinasi, Istirahat",Cacat Janin
Kanker Payudara,TRUE,"Gastritis, Depresi Mayor, Hemofilia","Kemoterapi, Mastektomi",Metastasis ke Tulang
Serangan Jantung,TRUE,Diare Akut,"Aspirin, Nitrat",Gagal Jantung
Epilepsi,FALSE,Demam Berdarah,"Fenitoin, Valproat",Gangguan Kognitif
Kanker Payudara,FALSE,Migraine,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Parkinson,TRUE,Hepatitis C,"Levodopa, Pramipexole",Gangguan Gerak Berat
Malaria,FALSE,"Osteoporosis, Hipertensi, Skizofrenia","Klorokuin, Artemisinin",Anemia Berat
Kanker Paru-paru,FALSE,"Rubella, Bronkitis","Kemoterapi, Radioterapi",Metastasis ke Otak
Stroke,FALSE,Malaria,"Antikoagulan, Rehabilitasi",Kelumpuhan
Kanker Prostat,FALSE,"Tifus, Artritis Reumatoid","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Gagal Ginjal,TRUE,Kanker Prostat,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Kanker Paru-paru,TRUE,"Campak, Kanker Payudara","Kemoterapi, Radioterapi",Metastasis ke Otak
Epilepsi,FALSE,"Osteoporosis, Kanker Payudara, Pneumonia","Fenitoin, Valproat",Gangguan Kognitif
Migraine,FALSE,Hepatitis B,"Sumatriptan, Parasetamol",Gangguan Tidur
Diabetes Mellitus,FALSE,"Kanker Prostat, Campak","Insulin, Metformin","Gagal Ginjal, Neuropati"
Alzheimer,FALSE,Malaria,"Donepezil, Memantine",Demensia Berat
Diare Akut,TRUE,"Diare Akut, Diabetes Mellitus, Malaria","Oralit, Loperamide",Dehidrasi Parah
COVID-19,TRUE,Kanker Payudara,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
COVID-19,TRUE,"Hipertensi, Diabetes Mellitus, Kanker Kolorektal","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Demam Berdarah,TRUE,"Rubella, Kanker Prostat, Hipertensi","Rehidrasi, Paracetamol",Syok Dengue
Migraine,TRUE,Alzheimer,"Sumatriptan, Parasetamol",Gangguan Tidur
Hipertensi,FALSE,"Anemia, Gastritis","Amlodipine, Captopril","Stroke, Serangan Jantung"
Diare Akut,TRUE,"Depresi Mayor, Hepatitis B","Oralit, Loperamide",Dehidrasi Parah
Diare Akut,FALSE,"Hemofilia, Parkinson","Oralit, Loperamide",Dehidrasi Parah
Gastritis,TRUE,Anemia,"Antasida, Omeprazole",Ulkus Lambung
Bipolar,FALSE,"Hepatitis C, Stroke","Lithium, Antidepresan",Depresi Kronis
Osteoporosis,FALSE,"Malaria, Epilepsi, Parkinson","Kalsium, Vitamin D",Fraktur Tulang
Hepatitis B,FALSE,Demam Berdarah,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Skizofrenia,FALSE,Kanker Paru-paru,"Risperidone, Olanzapine",Disabilitas Sosial
Hemofilia,FALSE,"Demam Berdarah, Bronkitis",Transfusi Faktor VIII,Pendarahan Internal
Skizofrenia,TRUE,"Epilepsi, Gastritis","Risperidone, Olanzapine",Disabilitas Sosial
Kanker Prostat,FALSE,Hepatitis C,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Rubella,FALSE,"Epilepsi, Gagal Ginjal","Vaksinasi, Istirahat",Cacat Janin
Diabetes Mellitus,FALSE,"Bipolar, Gastritis","Insulin, Metformin","Gagal Ginjal, Neuropati"
Artritis Reumatoid,FALSE,"Gastritis, Hepatitis B","NSAID, Metotreksat",Deformitas Sendi
Hemofilia,FALSE,Migraine,Transfusi Faktor VIII,Pendarahan Internal
Bipolar,FALSE,Stroke,"Lithium, Antidepresan",Depresi Kronis
Anemia,TRUE,Alzheimer,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Anemia,TRUE,"Serangan Jantung, Parkinson","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Diare Akut,TRUE,"Kanker Paru-paru, Diabetes Mellitus","Oralit, Loperamide",Dehidrasi Parah
Kanker Prostat,FALSE,"Influenza, Hemofilia","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Depresi Mayor,TRUE,Bronkitis,"SSRI, Psikoterapi",Bunuh Diri
Influenza,FALSE,Tuberkulosis,"Oseltamivir, Paracetamol",Pneumonia
Hepatitis B,FALSE,"Epilepsi, Hemofilia, Migraine","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Kanker Kolorektal,TRUE,"Osteoporosis, Influenza","Operasi, Kemoterapi",Metastasis ke Liver
Hepatitis C,FALSE,"Hepatitis B, Bronkitis","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Kanker Payudara,TRUE,"Influenza, Diare Akut","Kemoterapi, Mastektomi",Metastasis ke Tulang
Gagal Ginjal,FALSE,"Anemia, Bipolar, Diare Akut","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Hipertensi,FALSE,Hipertensi,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Hepatitis C,FALSE,"Skizofrenia, Osteoporosis, Tuberkulosis","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Parkinson,FALSE,"Demam Berdarah, COVID-19, Stroke","Levodopa, Pramipexole",Gangguan Gerak Berat
Serangan Jantung,FALSE,Kanker Payudara,"Aspirin, Nitrat",Gagal Jantung
Demam Berdarah,FALSE,"Bipolar, Alzheimer","Rehidrasi, Paracetamol",Syok Dengue
Depresi Mayor,FALSE,"Pneumonia, Campak, Stroke","SSRI, Psikoterapi",Bunuh Diri
Diabetes Mellitus,TRUE,"Cacar Air, Bipolar","Insulin, Metformin","Gagal Ginjal, Neuropati"
Kanker Paru-paru,FALSE,"Tuberkulosis, Asma, Osteoporosis","Kemoterapi, Radioterapi",Metastasis ke Otak
Kanker Payudara,FALSE,"Rubella, Diare Akut","Kemoterapi, Mastektomi",Metastasis ke Tulang
Kanker Kolorektal,TRUE,"Gastritis, Depresi Mayor, Parkinson","Operasi, Kemoterapi",Metastasis ke Liver
Alzheimer,FALSE,"Demam Berdarah, Serangan Jantung","Donepezil, Memantine",Demensia Berat
Kanker Payudara,FALSE,"Demam Berdarah, Migraine","Kemoterapi, Mastektomi",Metastasis ke Tulang
Kanker Payudara,TRUE,"Alzheimer, Campak","Kemoterapi, Mastektomi",Metastasis ke Tulang
Gagal Ginjal,FALSE,Hepatitis C,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Hemofilia,FALSE,Osteoporosis,Transfusi Faktor VIII,Pendarahan Internal
Hepatitis B,TRUE,Bronkitis,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Pneumonia,TRUE,"Anemia, Hemofilia","Azitromisin, Ceftriaxone",Sepsis
Hemofilia,TRUE,"Parkinson, Kanker Payudara",Transfusi Faktor VIII,Pendarahan Internal
Bronkitis,FALSE,COVID-19,"Dextromethorphan, Amoksisilin",Pneumonia
Bronkitis,FALSE,"COVID-19, Alzheimer, Migraine","Dextromethorphan, Amoksisilin",Pneumonia
Tifus,TRUE,Tifus,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Kanker Paru-paru,TRUE,"Tifus, Kanker Kolorektal, Alzheimer","Kemoterapi, Radioterapi",Metastasis ke Otak
Tuberkulosis,FALSE,"Skizofrenia, Parkinson","Rifampisin, Isoniazid",Gagal Paru
Artritis Reumatoid,FALSE,"Hemofilia, Stroke","NSAID, Metotreksat",Deformitas Sendi
Kanker Prostat,TRUE,"Bronkitis, Malaria","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Alzheimer,FALSE,"Kanker Kolorektal, Malaria, Diabetes Mellitus","Donepezil, Memantine",Demensia Berat
Parkinson,TRUE,"Cacar Air, Serangan Jantung, Hepatitis B","Levodopa, Pramipexole",Gangguan Gerak Berat
Osteoporosis,FALSE,"Anemia, Diare Akut, Diabetes Mellitus","Kalsium, Vitamin D",Fraktur Tulang
Serangan Jantung,TRUE,"Hipertensi, Hepatitis B, Asma","Aspirin, Nitrat",Gagal Jantung
Hepatitis C,FALSE,Hepatitis C,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
COVID-19,FALSE,"Campak, Kanker Paru-paru","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Bronkitis,TRUE,"Hemofilia, Hipertensi, Malaria","Dextromethorphan, Amoksisilin",Pneumonia
Diabetes Mellitus,FALSE,Bipolar,"Insulin, Metformin","Gagal Ginjal, Neuropati"
Campak,TRUE,"Demam Berdarah, Kanker Payudara, Bipolar","Vitamin A, Paracetamol",Ensefalitis
Hemofilia,TRUE,Diabetes Mellitus,Transfusi Faktor VIII,Pendarahan Internal
Artritis Reumatoid,TRUE,Kanker Prostat,"NSAID, Metotreksat",Deformitas Sendi
Osteoporosis,FALSE,"Hemofilia, Hipertensi","Kalsium, Vitamin D",Fraktur Tulang
Anemia,TRUE,"Alzheimer, Diare Akut, Epilepsi","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Kanker Paru-paru,FALSE,Gagal Ginjal,"Kemoterapi, Radioterapi",Metastasis ke Otak
Serangan Jantung,TRUE,"Hepatitis B, Serangan Jantung, Influenza","Aspirin, Nitrat",Gagal Jantung
Skizofrenia,FALSE,"Hepatitis C, Diare Akut, Alzheimer","Risperidone, Olanzapine",Disabilitas Sosial
Parkinson,TRUE,"Kanker Prostat, Osteoporosis, Tifus","Levodopa, Pramipexole",Gangguan Gerak Berat
Gagal Ginjal,TRUE,"Diare Akut, Malaria, Tuberkulosis","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Serangan Jantung,TRUE,"Campak, Bipolar","Aspirin, Nitrat",Gagal Jantung
COVID-19,FALSE,"Hepatitis C, Skizofrenia, Kanker Payudara","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Depresi Mayor,FALSE,"Epilepsi, Hepatitis B, Anemia","SSRI, Psikoterapi",Bunuh Diri
Bipolar,FALSE,COVID-19,"Lithium, Antidepresan",Depresi Kronis
Tifus,FALSE,Pneumonia,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Depresi Mayor,FALSE,Hipertensi,"SSRI, Psikoterapi",Bunuh Diri
Depresi Mayor,TRUE,"Tuberkulosis, Malaria","SSRI, Psikoterapi",Bunuh Diri
Gagal Ginjal,FALSE,Parkinson,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Diabetes Mellitus,FALSE,"Parkinson, Demam Berdarah","Insulin, Metformin","Gagal Ginjal, Neuropati"
Gastritis,TRUE,Parkinson,"Antasida, Omeprazole",Ulkus Lambung
Gastritis,TRUE,Diare Akut,"Antasida, Omeprazole",Ulkus Lambung
Stroke,TRUE,"Depresi Mayor, Stroke","Antikoagulan, Rehabilitasi",Kelumpuhan
Kanker Paru-paru,FALSE,"Hepatitis B, Gastritis, Alzheimer","Kemoterapi, Radioterapi",Metastasis ke Otak
Gastritis,FALSE,"Stroke, Diare Akut","Antasida, Omeprazole",Ulkus Lambung
Campak,TRUE,"Cacar Air, Hepatitis C","Vitamin A, Paracetamol",Ensefalitis
Pneumonia,FALSE,Migraine,"Azitromisin, Ceftriaxone",Sepsis
Serangan Jantung,TRUE,"Anemia, Kanker Kolorektal, Hemofilia","Aspirin, Nitrat",Gagal Jantung
COVID-19,FALSE,Malaria,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Stroke,FALSE,Skizofrenia,"Antikoagulan, Rehabilitasi",Kelumpuhan
Demam Berdarah,FALSE,"Cacar Air, Hemofilia","Rehidrasi, Paracetamol",Syok Dengue
Kanker Payudara,FALSE,"Parkinson, Hepatitis C, Stroke","Kemoterapi, Mastektomi",Metastasis ke Tulang
Asma,FALSE,"Parkinson, Osteoporosis, Anemia","Salbutamol, Budesonide",Gagal Napas
Gagal Ginjal,FALSE,Tifus,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Diare Akut,FALSE,"Depresi Mayor, Parkinson, Anemia","Oralit, Loperamide",Dehidrasi Parah
Diare Akut,TRUE,Cacar Air,"Oralit, Loperamide",Dehidrasi Parah
Kanker Kolorektal,FALSE,Bronkitis,"Operasi, Kemoterapi",Metastasis ke Liver
Bipolar,FALSE,"Diabetes Mellitus, Bronkitis, Alzheimer","Lithium, Antidepresan",Depresi Kronis
Gagal Ginjal,TRUE,"Kanker Kolorektal, Gagal Ginjal","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Hepatitis C,TRUE,"Stroke, Gagal Ginjal, Anemia","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Tifus,FALSE,"Kanker Payudara, Cacar Air, Gastritis","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Anemia,FALSE,"Depresi Mayor, Malaria, Tuberkulosis","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
COVID-19,TRUE,Epilepsi,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
COVID-19,TRUE,Kanker Paru-paru,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Rubella,FALSE,"Stroke, Hepatitis B, Gastritis","Vaksinasi, Istirahat",Cacat Janin
Influenza,FALSE,"Alzheimer, Kanker Kolorektal","Oseltamivir, Paracetamol",Pneumonia
Hepatitis C,FALSE,"Hemofilia, Cacar Air","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Kanker Payudara,TRUE,"Diare Akut, Hepatitis B, Osteoporosis","Kemoterapi, Mastektomi",Metastasis ke Tulang
Stroke,FALSE,Kanker Payudara,"Antikoagulan, Rehabilitasi",Kelumpuhan
Bipolar,FALSE,COVID-19,"Lithium, Antidepresan",Depresi Kronis
Osteoporosis,TRUE,Artritis Reumatoid,"Kalsium, Vitamin D",Fraktur Tulang
Campak,FALSE,"Bipolar, Osteoporosis","Vitamin A, Paracetamol",Ensefalitis
Alzheimer,TRUE,"Migraine, Kanker Kolorektal, Campak","Donepezil, Memantine",Demensia Berat
Osteoporosis,TRUE,Gastritis,"Kalsium, Vitamin D",Fraktur Tulang
Osteoporosis,FALSE,Kanker Payudara,"Kalsium, Vitamin D",Fraktur Tulang
Epilepsi,TRUE,"Epilepsi, Gastritis, COVID-19","Fenitoin, Valproat",Gangguan Kognitif
Tuberkulosis,TRUE,"Asma, Kanker Paru-paru","Rifampisin, Isoniazid",Gagal Paru
Parkinson,TRUE,Cacar Air,"Levodopa, Pramipexole",Gangguan Gerak Berat
Hepatitis B,FALSE,"Hepatitis B, COVID-19, Cacar Air","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Rubella,FALSE,"Influenza, Gastritis","Vaksinasi, Istirahat",Cacat Janin
Alzheimer,FALSE,"Gagal Ginjal, Diabetes Mellitus, Osteoporosis","Donepezil, Memantine",Demensia Berat
Artritis Reumatoid,FALSE,Kanker Payudara,"NSAID, Metotreksat",Deformitas Sendi
Hemofilia,TRUE,"Gastritis, Tifus",Transfusi Faktor VIII,Pendarahan Internal
Malaria,FALSE,Anemia,"Klorokuin, Artemisinin",Anemia Berat
Diare Akut,TRUE,"Hipertensi, Diabetes Mellitus, Hepatitis B","Oralit, Loperamide",Dehidrasi Parah
Rubella,FALSE,"Osteoporosis, Gastritis, Kanker Prostat","Vaksinasi, Istirahat",Cacat Janin
Hepatitis C,TRUE,"COVID-19, Skizofrenia, Malaria","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Kanker Payudara,TRUE,"Bipolar, Gagal Ginjal, Hipertensi","Kemoterapi, Mastektomi",Metastasis ke Tulang
Rubella,FALSE,"Bronkitis, Anemia, Campak","Vaksinasi, Istirahat",Cacat Janin
Stroke,TRUE,Gagal Ginjal,"Antikoagulan, Rehabilitasi",Kelumpuhan
COVID-19,FALSE,"Diare Akut, Anemia, Serangan Jantung","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Kanker Payudara,FALSE,"Hepatitis C, Osteoporosis","Kemoterapi, Mastektomi",Metastasis ke Tulang
Bronkitis,FALSE,"Parkinson, Hepatitis C","Dextromethorphan, Amoksisilin",Pneumonia
Bipolar,FALSE,"Epilepsi, Asma","Lithium, Antidepresan",Depresi Kronis
Rubella,FALSE,Kanker Kolorektal,"Vaksinasi, Istirahat",Cacat Janin
Skizofrenia,TRUE,Epilepsi,"Risperidone, Olanzapine",Disabilitas Sosial
Alzheimer,FALSE,"Bronkitis, Malaria, Kanker Paru-paru","Donepezil, Memantine",Demensia Berat
COVID-19,TRUE,"Stroke, Artritis Reumatoid, Asma","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Artritis Reumatoid,TRUE,Bronkitis,"NSAID, Metotreksat",Deformitas Sendi
Gastritis,TRUE,"Migraine, Pneumonia, Osteoporosis","Antasida, Omeprazole",Ulkus Lambung
Artritis Reumatoid,TRUE,Diare Akut,"NSAID, Metotreksat",Deformitas Sendi
Artritis Reumatoid,TRUE,"Stroke, Kanker Payudara, Campak","NSAID, Metotreksat",Deformitas Sendi
Artritis Reumatoid,FALSE,"Bipolar, COVID-19","NSAID, Metotreksat",Deformitas Sendi
Hepatitis C,TRUE,"Anemia, Hemofilia","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Kanker Kolorektal,TRUE,"COVID-19, Kanker Kolorektal, Pneumonia","Operasi, Kemoterapi",Metastasis ke Liver
Bipolar,TRUE,"Epilepsi, Serangan Jantung","Lithium, Antidepresan",Depresi Kronis
Osteoporosis,FALSE,"Diabetes Mellitus, Gastritis, Kanker Kolorektal","Kalsium, Vitamin D",Fraktur Tulang
Migraine,TRUE,"Malaria, Kanker Prostat","Sumatriptan, Parasetamol",Gangguan Tidur
Hepatitis C,FALSE,"Diabetes Mellitus, Cacar Air, Stroke","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Kanker Paru-paru,TRUE,"Malaria, Artritis Reumatoid, Tuberkulosis","Kemoterapi, Radioterapi",Metastasis ke Otak
Hepatitis B,FALSE,"Parkinson, Skizofrenia","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Epilepsi,FALSE,"Migraine, Diabetes Mellitus","Fenitoin, Valproat",Gangguan Kognitif
Depresi Mayor,TRUE,"COVID-19, Hepatitis C, Bronkitis","SSRI, Psikoterapi",Bunuh Diri
Alzheimer,TRUE,"Pneumonia, Anemia","Donepezil, Memantine",Demensia Berat
Kanker Kolorektal,TRUE,"Stroke, Bronkitis, Hipertensi","Operasi, Kemoterapi",Metastasis ke Liver
Serangan Jantung,FALSE,Tifus,"Aspirin, Nitrat",Gagal Jantung
Depresi Mayor,TRUE,"Malaria, Kanker Paru-paru, Campak","SSRI, Psikoterapi",Bunuh Diri
Asma,TRUE,Rubella,"Salbutamol, Budesonide",Gagal Napas
